[GC (Allocation Failure) [DefNew: 13129K->1600K(14784K), 0.0039379 secs] 13129K->1834K(47552K), 0.0039679 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14784K->1089K(14784K), 0.0048802 secs] 15018K->2916K(47552K), 0.0049083 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14273K->699K(14784K), 0.0026842 secs] 16100K->3212K(47552K), 0.0027120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13883K->953K(14784K), 0.0019456 secs] 16396K->3466K(47552K), 0.0019745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14137K->959K(14784K), 0.0029313 secs] 16650K->3817K(47552K), 0.0029593 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14143K->446K(14784K), 0.0018738 secs] 17001K->3543K(47552K), 0.0019016 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13630K->759K(14784K), 0.0022166 secs] 16727K->3857K(47552K), 0.0022462 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 13943K->1235K(14784K), 0.0026942 secs] 17041K->4332K(47552K), 0.0027198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14415K->117K(14784K), 0.0019160 secs] 17512K->3805K(47552K), 0.0019406 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13301K->859K(14784K), 0.0021773 secs] 16989K->4546K(47552K), 0.0022040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14043K->447K(14784K), 0.0021216 secs] 17730K->4201K(47552K), 0.0021530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13631K->1518K(14784K), 0.0039715 secs] 17385K->5273K(47552K), 0.0040002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14702K->822K(14784K), 0.0040473 secs] 18457K->5499K(47552K), 0.0040708 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14006K->826K(14784K), 0.0035927 secs] 18683K->5610K(47552K), 0.0036193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14010K->222K(14784K), 0.0023406 secs] 18794K->5710K(47552K), 0.0023662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13406K->820K(14784K), 0.0031612 secs] 18894K->6308K(47552K), 0.0031917 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14004K->1196K(14784K), 0.0036947 secs] 19492K->6717K(47552K), 0.0037241 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14380K->1599K(14784K), 0.0055289 secs] 19901K->8137K(47552K), 0.0055554 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14783K->756K(14784K), 0.0072409 secs] 21321K->8840K(47552K), 0.0072753 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 13940K->1084K(14784K), 0.0033523 secs] 22024K->9168K(47552K), 0.0033775 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14268K->540K(14784K), 0.0059456 secs] 22352K->9523K(47552K), 0.0059823 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13724K->992K(14784K), 0.0030081 secs] 22707K->9975K(47552K), 0.0030353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14176K->1341K(14784K), 0.0036933 secs] 23159K->10520K(47552K), 0.0037190 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14525K->1008K(14784K), 0.0545380 secs] 23704K->10892K(47552K), 0.0545680 secs] [Times: user=0.01 sys=0.00, real=0.06 secs] 
[GC (Allocation Failure) [DefNew: 14192K->268K(14784K), 0.0042353 secs] 24076K->10419K(47552K), 0.0042687 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 13452K->293K(14784K), 0.0021147 secs] 23603K->10444K(47552K), 0.0021393 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13477K->411K(14784K), 0.0625142 secs] 23628K->10562K(47552K), 0.0625476 secs] [Times: user=0.01 sys=0.00, real=0.07 secs] 
[GC (Allocation Failure) [DefNew: 13595K->477K(14784K), 0.0020366 secs] 23746K->10628K(47552K), 0.0020615 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
